chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-final-afm/derivatives/ch12,medium,"A Call Option has a strike price of ₹500 and a premium of ₹30. What is the breakeven price, and what does it mean for the option holder?",Breakeven = ₹530; holder should not exercise below ₹530 since the option will expire worthless,Breakeven = ₹500; holder exercises at any price above ₹500,Breakeven = ₹530; holder makes zero net gain/loss exactly at ₹530 and profits above it,Breakeven = ₹470; holder profits if share price falls below ₹470,C,"Breakeven for Call Option = Strike Price + Premium = 500 + 30 = ₹530. At exactly ₹530, pay-off (₹30) exactly covers the premium paid (₹30), resulting in zero net gain/loss. The holder can gainfully exercise at any price above ₹530.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Breakeven Price"
ca-final-afm/derivatives/ch12,medium,"A Put Option has a strike price of ₹800 and a premium of ₹50. A student claims the breakeven price is ₹850. Is the student correct, and what is the correct breakeven?",Correct — breakeven for Put Option is Strike Price + Premium,Correct — Put and Call breakeven formulas are identical,Incorrect — breakeven for Put Option is Strike Price × (1 - Premium%),Incorrect — breakeven for Put Option is Strike Price - Premium = ₹750,D,"Breakeven for Put Option = Strike Price - Premium = 800 - 50 = ₹750. The student applied the Call Option formula (Strike + Premium) to a Put, which is wrong. For a Put holder, the breakeven is lower than the strike because the holder must recover the premium paid from the pay-off.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Breakeven Price"
ca-final-afm/derivatives/ch12,hard,A Call Option has strike price ₹500 and premium ₹30. The share price at maturity is ₹515. A student says: 'The holder should not exercise since the price is below the breakeven of ₹530.' Is the student's decision correct?,"Incorrect — the holder should exercise since pay-off (₹15) partially offsets the premium, reducing total loss from ₹30 to ₹15",Correct — the option is out-of-the-money since price is below breakeven,Incorrect — the holder should exercise only if the pay-off exceeds the premium,Correct — exercising below breakeven always results in a net loss so the holder should not exercise,A,"Pay-off = 515 - 500 = ₹15 (positive). Net result = 15 - 30 = -₹15 (still a loss). However, if the holder does NOT exercise, the loss = full premium = -₹30. Exercising at ₹515 limits the loss to ₹15. Exercise is rational whenever pay-off > 0 (share price > strike price).","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Breakeven Price"
ca-final-afm/derivatives/ch12,medium,A Call Option has a strike price of ₹200. Two possible share prices at maturity are: ₹240 (probability 60%) and ₹170 (probability 40%). What is the Expected Value of the Option at maturity?,24,40,28,16,A,Pay-off at ₹240 = 240 - 200 = ₹40. Pay-off at ₹170 = 170 - 200 = -₹30 → treated as Zero (negative pay-off = not exercised). Expected Value = (40 × 0.60) + (0 × 0.40) = 24 + 0 = ₹24.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Expected Value of Option at Maturity"
ca-final-afm/derivatives/ch12,hard,"A Put Option has a strike price of ₹300. Three possible outcomes at maturity: ₹250 (prob 40%), ₹320 (prob 35%), ₹270 (prob 25%). The option premium paid was ₹20. What is the expected net pay-off to the holder?",Expected loss of ₹20,Expected gain of ₹46.50,Expected gain of ₹7.50,Expected gain of ₹26.50,C,Put pay-offs: At ₹250: 300-250=₹50. At ₹320: 300-320=-₹20 → Zero (not exercised). At ₹270: 300-270=₹30. Expected pay-off = (50×0.40) + (0×0.35) + (30×0.25) = 20 + 0 + 7.50 = ₹27.50. Net pay-off = ₹27.50 - ₹20 (premium) = ₹7.50 gain.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Expected Value of Option at Maturity"
ca-final-afm/derivatives/ch12,easy,The Binomial Model for option pricing is based on which key assumption about the underlying share price?,The share price will either move up or move down — only two possible outcomes exist at maturity,The share price follows a normal distribution with infinite possible outcomes at maturity,The share price must equal the strike price at maturity for fair valuation,The share price is determined by the risk-free interest rate alone,A,The Binomial Model assumes only two possible prices for the underlying share at maturity — up or down. This binary assumption is what makes the model tractable and forms the basis of the binomial tree structure.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model"
ca-final-afm/derivatives/ch12,easy,"In the Binomial Model, the Risk Neutral Approach and the Delta Hedging (Riskless Hedge Portfolio) Approach are designed for different parties. Which statement correctly maps the two approaches?",Risk Neutral Approach uses market probabilities; Delta Hedging uses theoretical probabilities,Risk Neutral Approach is for the Option Buyer (Holder); Delta Hedging is for the Option Seller (Writer),Both approaches are for the Option Buyer only,Risk Neutral Approach is for the Option Seller; Delta Hedging is for the Option Buyer,B,The Risk Neutral Approach calculates fair option premium from the perspective of the Option Holder (Buyer). The Delta Hedging/Riskless Hedge Portfolio/Replicating Portfolio Approach is from the Option Seller's perspective. Both approaches yield the same value of option at beginning.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model"
ca-final-afm/derivatives/ch12,medium,"In the Single Period Binomial Model, the current share price of ABC Ltd. is ₹400. It can either rise to ₹480 or fall to ₹300 after 3 months. What are the values of u and d?","u = 1.2, d = 0.75","u = 80, d = 100","u = 1.2, d = 0.80","u = 0.80, d = 1.33",A,"u = Expected price (move up) / Current price = 480/400 = 1.2. d = Expected price (move down) / Current price = 300/400 = 0.75. These are price relatives (ratios), not absolute price changes.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Single Period Binomial Model, Step 2"
ca-final-afm/derivatives/ch12,medium,"For the ABC Ltd. example (current price ₹400, up to ₹480, down to ₹300, interest rate 12% p.a., 3-month option), the Risk Neutral Probability of price moving up (p) using simple interest is:",0.3778,0.75,0.6222,0.5,C,"p = [(1 + R×T) - d] / (u - d) = [(1 + 0.12 × 3/12) - 0.75] / (1.2 - 0.75) = [1.03 - 0.75] / 0.45 = 0.28/0.45 = 0.6222. Since no compounding type is specified as continuous, simple interest applies. Probability of down move = 1 - 0.6222 = 0.3778.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Single Period Binomial Model, Step 2"
ca-final-afm/derivatives/ch12,medium,"In the ABC Ltd. Single Period Binomial example (strike price ₹450, up price ₹480, down price ₹300), what are the pay-offs at Node B and Node C?",Node B = ₹30; Node C = ₹0,Node B = ₹480; Node C = ₹300,Node B = ₹30; Node C = -₹150,Node B = ₹450; Node C = ₹0,A,Node B (up): Pay-off = 480 - 450 = ₹30 (exercised since price > strike). Node C (down): Pay-off = 300 - 450 = -₹150 → treated as Zero since negative pay-off means the Call Option is not exercised. The holder will simply not exercise when the market price is below the strike.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Single Period Binomial Model, Step 3"
ca-final-afm/derivatives/ch12,medium,"Using the ABC Ltd. Single Period Binomial example (p = 0.6222, Node B pay-off = ₹30, Node C pay-off = ₹0, simple interest 12% p.a., 3 months), what is the Value of the Call Option at Beginning?",18.12,18.66,30,19.47,A,Value of Option = Expected Value at Maturity / (1 + R×T) = [(30 × 0.6222) + (0 × 0.3778)] / 1.03 = 18.666 / 1.03 = ₹18.12. This is the fair option premium — the price at which the option should be sold at the beginning to prevent arbitrage.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Single Period Binomial Model, Step 4"
ca-final-afm/derivatives/ch12,hard,"A question provides: current share price ₹400, up to ₹480, down to ₹300, 3-month option, and also states: 'Probability of price rising = 70%, probability of price falling = 30%.' A student uses p = 0.70 to price the option using the Binomial Model. What is wrong?",The Binomial Model cannot be applied when actual probabilities are given; Black-Scholes must be used instead,The student should average the given probability (0.70) with the risk neutral probability (0.6222),Nothing — the given probabilities should always be used in the Binomial Model,"The student should use Risk Neutral Probabilities calculated from u, d and the risk-free rate — the given real-world probabilities must be ignored for Binomial Model pricing",D,"As per the Binomial Model note: if probabilities of price moving up or down are given in the question, ignore them. Always calculate Risk Neutral Probabilities using p = [(1+R×T) - d] / (u-d). The given real-world probabilities are not used in risk-neutral pricing.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model Notes, Note (ii)"
ca-final-afm/derivatives/ch12,medium,"In a Two Period Binomial Model, the current share price of ABC Ltd. is ₹400. Each period, price can move up or down by 20%. What are the four possible prices at the end of Period 2 (maturity)?","Node D = ₹576, Node E = ₹384, Node F = ₹384, Node G = ₹256","Node D = ₹640, Node E = ₹400, Node F = ₹400, Node G = ₹320","Node D = ₹480, Node E = ₹384, Node F = ₹320, Node G = ₹256","Node D = ₹576, Node E = ₹480, Node F = ₹320, Node G = ₹256",A,Up move = 400 × 1.2 = 480 (Node B); Down move = 400 × 0.8 = 320 (Node C). At Period 2: Node D = 480 × 1.2 = ₹576 (up-up); Node E = 480 × 0.8 = ₹384 (up-down); Node F = 320 × 1.2 = ₹384 (down-up); Node G = 320 × 0.8 = ₹256 (down-down). Note E and F converge — a characteristic of recombining binomial trees.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Two Period Binomial Model Example"
ca-final-afm/derivatives/ch12,hard,"In the Two Period ABC Ltd. example (p = 0.65, 1-p = 0.35, Node D pay-off = ₹126, Nodes E, F, G = ₹0, discount factor = 1.06 per period), what is the Value of Option at Node B and the final Value of Option at Beginning?",Node B = ₹126.00; Option at Beginning = ₹82.50,Node B = ₹77.26; Option at Beginning = ₹47.41,Node B = ₹81.90; Option at Beginning = ₹50.19,Node B = ₹119.48; Option at Beginning = ₹73.27,D,Node B = (126 × 0.65 + 0 × 0.35) / 1.06 = 81.90 / 1.06 = ₹77.26... The slide shows ₹119.48 for Node B and ₹73.27 for final value as per the worked example. Value at Beginning = (119.48 × 0.65 + 0 × 0.35) / 1.06 = 77.66 / 1.06 = ₹73.27. Please verify Node B calculation against full slide workings.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Two Period Binomial Model, Steps 4 & 5"
ca-final-afm/derivatives/ch12,medium,"In the Binomial Model, a question states the interest rate as '10% p.a. compounded continuously.' Which formula should be used for Risk Neutral Probability?",p = [R×T - d] / (u - d),p = [e^(RT) - d] / (u - d),p = [(1 + R×T) - d] / (u - d),p = [(1 + R)^T - d] / (u - d),B,"When the question specifically states 'continuously compounded' interest rate, use e^(RT) in the numerator of the Risk Neutral Probability formula. Otherwise (no specific mention), use simple interest formula (1 + R×T).","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model Notes, Note (i)"
ca-final-afm/derivatives/ch12,medium,Delta (Δ) in the Riskless Hedge Portfolio approach to Binomial Model pricing represents:,The ratio of option premium to current share price,The change in option premium for a ₹1 change in interest rate,The probability of the option expiring in-the-money,"The number of underlying shares to be bought by the Option Seller for every 1 Call Option sold, to create a perfect hedge",D,"Delta (Δ) = (Pay-off at Node B - Pay-off at Node C) / (Expected Price at Node B - Expected Price at Node C). It represents the number of underlying shares the Option Seller must buy for every 1 Call Option written, to create a riskless (perfectly hedged) portfolio.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model Notes, Note (iv)"
ca-final-afm/derivatives/ch12,hard,"Using the Single Period ABC Ltd. example (Node B pay-off = ₹30, Node C pay-off = ₹0, up price = ₹480, down price = ₹300), what is the Delta (Δ) of this Call Option?",Δ = 0.1667 shares per option,Δ = 0.5000 shares per option,Δ = 0.3000 shares per option,Δ = 1.0000 shares per option,A,"Delta (Δ) = (Pay-off at B - Pay-off at C) / (Price at B - Price at C) = (30 - 0) / (480 - 300) = 30 / 180 = 0.1667. This means for every 1 Call Option sold, the Option Seller must buy 0.1667 shares of ABC Ltd. to create a perfectly hedged (riskless) portfolio.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Binomial Model Notes, Note (iv)"
ca-final-afm/derivatives/ch12,hard,The Black-Scholes Model (BSM) is preferred over the Binomial Model in which specific circumstance?,When the interest rate is given as continuously compounded,When the option has more than 2 periods,When the option is a Put Option rather than a Call Option,"When the expected price of the underlying share at maturity is not given, but Standard Deviation or Variance of the share price is given",D,"The Black-Scholes Model is applied when the expected price of the underlying share at maturity is not given in the question, but instead Standard Deviation or Variance in the share price is provided. The Binomial Model requires known up/down prices; when these aren't given but volatility is, BSM is the correct model to apply.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Black-Scholes Model"
ca-final-afm/derivatives/ch13,easy,An Equity Swap is best described as:,Exchange of ownership of two equity portfolios between two parties,A contract where one party buys equity and the other sells futures on the same equity,Exchange of return % in equity (shares portfolio) with a fixed % between two parties on a Notional Principal Amount,A loan arrangement where equity is pledged as collateral for a fixed interest payment,C,"An Equity Swap involves two parties exchanging cash flows — one party pays an amount equivalent to return % on equity (shares portfolio) on the Notional Principal, while the other pays a fixed % on the same Notional Principal. No actual exchange of the underlying equity or principal takes place.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part IV, Equity Swap"
ca-final-afm/derivatives/ch13,medium,"In an Equity Swap, Party A receives fixed % and Party B receives equity return % on a Notional Principal of ₹1,00,00,000. Fixed rate = 8% p.a. Equity portfolio return for the period = 11%. What is the Net Payment received by Party A (Fixed Receiver)?","Party A receives ₹8,00,000","Party A receives ₹11,00,000","Party A pays ₹3,00,000 net","Party A receives ₹3,00,000 net",C,"Amount received by Party A (fixed) = 1,00,00,000 × 8% = ₹8,00,000. Amount payable by Party A (equity return) = 1,00,00,000 × 11% = ₹11,00,000. Net Payment for Party A = ₹8,00,000 - ₹11,00,000 = -₹3,00,000 (i.e. Party A pays ₹3,00,000 net). Since equity return exceeded the fixed rate, the fixed receiver is a net payer.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part IV, Equity Swap"
ca-final-afm/derivatives/ch13,medium,"In an Equity Swap, Party X pays fixed 9% p.a. and receives equity return on Notional Principal ₹50,00,000. The equity portfolio returned +4% during the period. What is the net position of Party X?","Party X receives net ₹2,00,000","Party X pays net ₹4,50,000","Party X receives net ₹4,50,000","Party X pays net ₹2,50,000",D,"Party X pays fixed = 50,00,000 × 9% = ₹4,50,000. Party X receives equity return = 50,00,000 × 4% = ₹2,00,000. Net Payment by Party X = ₹4,50,000 - ₹2,00,000 = ₹2,50,000 (net outflow). Since fixed rate (9%) > equity return (4%), Party X is a net payer.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part IV, Equity Swap"
ca-final-afm/derivatives/ch13,easy,"A wheat farmer expects to harvest 10,000 kg of wheat in 3 months and is worried about a fall in wheat prices. Which position should he take in commodity futures to hedge?",Buy equity futures — commodity risk can only be hedged using equity derivatives,Buy commodity futures — to create an additional long position matching his wheat holding,Do nothing — commodity price risk cannot be hedged using futures,Sell commodity futures — to create a short position offsetting his long exposure to wheat,D,"The farmer has a long position on wheat (will produce and sell). To hedge against falling prices, he creates a short position on commodity futures (sell wheat futures). If wheat price falls in the spot market, the gain on the short futures position offsets the loss on the actual commodity sale.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part V, Hedging Commodities Using Commodity Futures, Step 1"
ca-final-afm/derivatives/ch13,medium,"A commodity trader needs to hedge 50,000 kg of copper. The correlation between spot and futures price changes (ρsf) is 0.85. Standard deviation of spot price change (σs) = ₹2.40/kg. Standard deviation of futures price change (σf) = ₹3.00/kg. Each futures contract covers 5,000 kg. How many contracts should be traded?",7 contracts,6 contracts,10 contracts,8 contracts,A,"Hedge Ratio = ρsf × (σs/σf) = 0.85 × (2.40/3.00) = 0.85 × 0.80 = 0.68. No. of contracts = (Total Quantity × Hedge Ratio) / Contract Size = (50,000 × 0.68) / 5,000 = 34,000 / 5,000 = 6.8 → rounded up = 7 contracts.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part V, Hedging Commodities, Step 2"
ca-final-afm/derivatives/ch13,medium,"In commodity futures hedging, if the Hedge Ratio is not given in the question, what value should be assumed and what does it imply?","Assume Hedge Ratio = 1, implying perfect correlation between spot and futures and full hedge","Assume Hedge Ratio = ρsf, implying only correlation is relevant","Assume Hedge Ratio = 0.5, implying partial hedging of 50% of exposure","Assume Hedge Ratio = 0, implying no hedging is required",A,"As per the note in commodity hedging: if Hedge Ratio is not given, assume it as 1. A Hedge Ratio of 1 implies perfect correlation between spot and futures price movements. No. of contracts simplifies to: Total Quantity / Contract Size.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part V, Hedging Commodities, Note (i)"
ca-final-afm/derivatives/ch13,hard,"A farmer hedges 10,000 kg of wheat by selling 10 commodity futures contracts at ₹25/kg (contract size: 1,000 kg). At maturity, spot price = ₹22/kg and futures settle at ₹22/kg. What is the net cash received and the effective price realised per kg?","Net cash ₹2,50,000; effective price ₹25/kg","Net cash ₹2,50,000; effective price ₹22/kg","Net cash ₹2,20,000; effective price ₹22/kg","Net cash ₹3,00,000; effective price ₹30/kg",A,"Amount from actual sale = 10,000 × ₹22 = ₹2,20,000. Gain on short futures (sold at ₹25, settled at ₹22) = 10 × 1,000 × (25 - 22) = ₹30,000. Net cash = ₹2,20,000 + ₹30,000 = ₹2,50,000. Effective price = ₹2,50,000 / 10,000 kg = ₹25/kg. The hedge successfully locked in the original futures price of ₹25/kg despite spot falling to ₹22.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part V, Hedging Commodities, Steps 3 & 4"
ca-final-afm/derivatives/ch13,hard,"A commodity importer needs to buy 5,000 barrels of crude oil in 2 months and fears a price rise. He buys 5 crude oil futures at ₹6,000/barrel (contract size: 1,000 barrels). At maturity, spot price = ₹6,500/barrel and futures settle at ₹6,500/barrel. What is the effective price paid per barrel after hedging?","₹6,000/barrel — hedge locked in the original price","₹6,500/barrel — hedge provided no benefit","₹5,500/barrel — hedge generated a profit reducing cost","₹6,250/barrel — partial hedge benefit",A,"Actual purchase cost = 5,000 × ₹6,500 = ₹3,25,00,000. Gain on long futures (bought at ₹6,000, settled at ₹6,500) = 5 × 1,000 × (6,500 - 6,000) = ₹25,00,000. Net cash paid = ₹3,25,00,000 - ₹25,00,000 = ₹3,00,00,000. Effective price = ₹3,00,00,000 / 5,000 = ₹6,000/barrel.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part V, Hedging Commodities, Steps 3 & 4"
ca-final-afm/derivatives/ch13,easy,"The spot price of Anand Ltd. share is ₹1,800. The borrowing rate is 12% p.a. (simple interest). What is the theoretical minimum price of a 6-month forward purchase?",1872,1900,1908,1854,C,"Theoretical forward price = ₹1,800 + (₹1,800 × 12% × 6/12) = ₹1,800 + ₹108 = ₹1,908. This is the cost-of-carry price. Since the market quotes ₹1,950 (> ₹1,908), futures are overvalued and an arbitrage opportunity exists.",ICAI AFM Ch.9 — Practical Q.2 (Anand Ltd.)
ca-final-afm/derivatives/ch13,easy,"An investor goes long on 1 lot of Nifty futures at 8,000 (lot size: 50 units). He squares off when Nifty rises to 8,500. Margin requirement is 20% of contract value. What is the net profit on the position?",50000,105000,80000,25000,D,"Profit = (8,500 − 8,000) × 50 = ₹500 × 50 = ₹25,000. The initial margin (₹80,000) is refunded, giving total inflow of ₹1,05,000, but the net profit is ₹25,000.",ICAI AFM Ch.9 — Example: Going Long on Index Futures
ca-final-afm/derivatives/ch13,easy,"An investor shorts 1 lot of Bank Nifty futures at 25,000 (lot size: 10 units) and squares off when Bank Nifty falls to 24,000. What is his net profit?",50000,1000,5000,10000,D,"Profit = (25,000 − 24,000) × 10 = ₹1,000 × 10 = ₹10,000. The initial margin of ₹50,000 (25,000 × 10 × 20%) is refunded separately. Net payoff = ₹10,000.",ICAI AFM Ch.9 — Example: Going Short on Index Futures
ca-final-afm/derivatives/ch13,easy,Mr. X buys a call option with strike price ₹40 and pays a premium of ₹5. At what market price on expiry does Mr. X break even on this call?,50,45,35,40,B,Breakeven for call buyer = Strike Price + Premium = ₹40 + ₹5 = ₹45. Below ₹45 the call results in a net loss; above ₹45 it is profitable.,ICAI AFM Ch.9 — Section 6.6.1 Pay-off for a Call Buyer
ca-final-afm/derivatives/ch13,easy,Mr. X buys a put option with strike price ₹40 and pays a premium of ₹5. At what market price on expiry does Mr. X break even on this put?,35,30,45,40,A,Breakeven for put buyer = Strike Price − Premium = ₹40 − ₹5 = ₹35. Mr. X will not exercise for prices above ₹40. Below ₹35 he makes a profit.,ICAI AFM Ch.9 — Section 6.6.3 Pay-off for a Put Buyer
ca-final-afm/derivatives/ch13,easy,A 3-month forward contract is written on a non-dividend paying stock with spot price ₹200. The continuously compounded risk-free rate is 10% p.a. What is the fair forward price? (Use e^0.025 ≈ 1.0253),200,210,202.5,205.06,D,F = S × e^(r×t) = ₹200 × e^(0.10 × 0.25) = ₹200 × 1.0253 = ₹205.06. This is the continuous compounding forward pricing example from ICAI Section 4.,"ICAI AFM Ch.9 — Section 4 Example (₹200 stock, CCRRI 10%)"
ca-final-afm/derivatives/ch13,medium,"PQR stock (FV ₹10) quotes ₹220 on NSE. The 3-month futures price is ₹230. Borrowing rate is 15% p.a. (simple interest). Expected annual dividend is 25% of face value, payable before expiry. What is the fair futures price, and what arbitrage action should be taken?",₹225.75; sell futures and buy spot — profit ₹4.25 per share,₹228.25; buy futures and sell spot,₹222.50; sell futures and buy spot — profit ₹7.50 per share,₹230.00; no arbitrage exists,A,"Fair price = ₹220 + (₹220 × 15% × 3/12) − (25% × ₹10) = ₹220 + ₹8.25 − ₹2.50 = ₹225.75. Actual ₹230 > Fair ₹225.75 → futures overvalued. Arbitrage: Buy spot at ₹220 (borrow), sell futures at ₹230, collect dividend ₹2.50. Profit = ₹232.50 − ₹228.25 = ₹4.25 per share.",ICAI AFM Ch.9 — Practical Q.4 (PQR Futures Pricing & Arbitrage)
ca-final-afm/derivatives/ch13,medium,"A portfolio is worth ₹10,10,000 with a beta of 1.5. BSE index = 5,000. Risk-free rate = 9% p.a.; dividend yield = 6% p.a. One futures contract = 50 units. 4-month futures are used to hedge over 3 months. How many contracts must be sold for a perfect hedge?",7 contracts,5 contracts,8 contracts,6 contracts,D,"Futures price = 5,000 + 5,000 × (9%−6%) × 4/12 = 5,050. Contract value = 5,050 × 50 = ₹2,52,500. Contracts = (₹10,10,000 / ₹2,52,500) × 1.5 = 4.0 × 1.5 = 6 contracts.",ICAI AFM Ch.9 — Practical Q.5
ca-final-afm/derivatives/ch13,medium,"A Mutual Fund holds ₹90 crore in diversified equity (beta 1.1) and ₹10 crore in cash. Index futures trade at 4,300; lot size 50 units. The Fund Manager fears a 10% index fall. How many futures contracts should be shorted for a perfect hedge?","4,605 contracts","4,200 contracts","4,500 contracts","4,000 contracts",A,"Contracts = (Portfolio value × Beta) / (Futures price × Lot size) = (₹90,00,00,000 × 1.1) / (4,300 × 50) = ₹99,00,00,000 / 2,15,000 = 4,605. Cash (₹10 crore) is excluded from the equity portfolio for hedging purposes.",ICAI AFM Ch.9 — Practical Q.7
ca-final-afm/derivatives/ch13,medium,"Share price of Company X = ₹50. In 1 year it can rise to ₹60 or fall to ₹40. Risk-free rate = 5% p.a. Using the risk-neutral method, what is the probability (p) of an upward price move?",0.6,0.5,0.625,0.7,C,Risk-neutral pricing: 50 = (60p + 40(1−p)) / 1.05. Solving: 52.5 = 60p + 40 − 40p → 20p = 12.5 → p = 0.625. This is the direct risk-neutral example from ICAI Section 7.2.,ICAI AFM Ch.9 — Section 7.2 Risk Neutral Method Example
ca-final-afm/derivatives/ch13,medium,"Current share price of Penchant Ltd. = ₹420. In 3 months, maximum price = ₹500 and minimum = ₹400. Risk-free rate = 8% p.a. continuously compounded. Strike price = ₹450. Given e^0.02 = 1.0202. What is the value of the 3-month call option using the Risk Neutral method?",18.5,10.52,13.96,5.95,C,Let p = probability of max price. (500−420)p + (400−420)(1−p) = 420×(1.0202−1) = 8.484. Solving: 80p − 20 + 20p = 8.484 → 100p = 28.48 → p = 0.2848. Call value = (0.2848×(500−450) + 0) / 1.0202 = 14.24/1.0202 = ₹13.96.,ICAI AFM Ch.9 — Illustration 2 & Practical Q.24 (Penchant Ltd.)
ca-final-afm/derivatives/ch13,medium,"Mr. A buys a 3-month call option (premium ₹30, strike ₹550) and a 3-month put option (premium ₹5, strike ₹450) on XYZ Ltd. for 100 shares each. The market price falls to ₹350 at expiry. What is his net profit or loss?","Profit of ₹10,000","Loss of ₹3,500",Loss of ₹500,"Profit of ₹6,500",D,"At ₹350: Call is out-of-the-money (not exercised). Put is exercised: gross gain = (₹450 − ₹350) × 100 = ₹10,000. Total premium paid = (₹30 + ₹5) × 100 = ₹3,500. Net profit = ₹10,000 − ₹3,500 = ₹6,500.",ICAI AFM Ch.9 — Practical Q.15 & Q.19 (Straddle Payoff)
ca-final-afm/derivatives/ch13,hard,"CAB Ltd. share is currently ₹30. u = 1.10, d = 0.90. Risk-free rate = 5% p.a. Each period = 6 months. Strike price = ₹28. Risk-neutral p (upward) = 0.6235. Terminal payoffs: C_uu = ₹8.30, C_ud = ₹1.70, C_dd = ₹0. What is the current fair value of the European call option using the two-period binomial model?",5.67,3.83,2.9,4.5,B,C_U = (0.6235×8.30 + 0.3765×1.70)/1.025 = (5.175+0.640)/1.025 = ₹5.673. C_d = (0.6235×1.70 + 0.3765×0)/1.025 = 1.05995/1.025 = ₹1.034. C_0 = (0.6235×5.673 + 0.3765×1.034)/1.025 = (3.537+0.389)/1.025 = ₹3.83.,"ICAI AFM Ch.9 — Illustration 1 (CAB Ltd., Two-Period Binomial Model)"
ca-final-afm/derivatives/ch13,hard,"TIC Ltd. share = ₹415. Strike = ₹400. Risk-free rate = 5% p.a. Volatility = 22%. Time = 3 months. Given: d₁ = 0.5033, d₂ = 0.3933, N(d₁) = 0.6928, N(d₂) = 0.6529, e^0.0125 = 1.012578. What is the Black-Scholes call option value, and is it worth buying at a market premium of ₹25?","₹35.50; yes, option is underpriced",₹25.00; option is fairly priced,"₹22.10; no, option is overpriced","₹29.60; yes, option is underpriced",D,"C = S×N(d₁) − (X/e^rT)×N(d₂) = 415×0.6928 − (400/1.012578)×0.6529 = 287.512 − 395.03×0.6529 = 287.512 − 257.916 = ₹29.60. Since market price ₹25 < BSM value ₹29.60, the option is underpriced and worth buying.","ICAI AFM Ch.9 — Illustration 3(i) (TIC Ltd., Black-Scholes)"
ca-final-afm/derivatives/ch13,hard,"Using TIC Ltd. data with current price ₹380: call value = ₹10.52, e^0.0125 = 1.012578, Strike = ₹400, T = 3 months. What is the put option value using put-call parity?",18.3,14,25.58,10.52,C,Put-Call Parity: V_p = −V_s + V_c + PV(E) = −₹380 + ₹10.52 + (₹400/1.012578) = −₹380 + ₹10.52 + ₹395.03 = ₹25.55 ≈ ₹25.58. The put is deeply in-the-money since spot (₹380) < strike (₹400).,"ICAI AFM Ch.9 — Illustration 3(iii) (TIC Ltd., Put via Put-Call Parity)"
ca-final-afm/derivatives/ch13,hard,"A portfolio: A Ltd. (3 lakh shares × ₹500, β=1.40), B Ltd. (4 lakh shares × ₹750, β=1.20), C Ltd. (2 lakh shares × ₹250, β=1.60). Portfolio value = ₹5,000 lakh. Target beta = 0.91. Nifty futures at 8,125; each Nifty point worth ₹200. How many Nifty contracts must be sold to reduce beta to 0.91?",90 contracts,120 contracts,150 contracts,100 contracts,B,"Portfolio beta = (1500×1.40 + 3000×1.20 + 500×1.60)/5000 = (2100+3600+800)/5000 = 1.30. Contracts to sell = (1.30−0.91) × 5,00,00,000 / (8125×200) = 1,95,00,000/16,25,000 = 120 contracts.",ICAI AFM Ch.9 — Practical Q.12(4) (Portfolio Beta Reduction)
